LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.320, Time: 5.099582 s
         2757701 function calls (2742979 primitive calls) in 6.799 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1064(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1075(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:119(Blend)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:133(__getattr__)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:172(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:264(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:286(PngInfo)
        1    0.000    0.000    0.004    0.004 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:370(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:695(PngImageFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:98(Disposal)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      114    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:382(_populate)
        1    0.000    0.000    0.000    0.000 __about__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       27    0.001    0.000    1.786    0.066 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:101(_StrongRef)
        1    0.000    0.000    0.000    0.000 __init__.py:1038(StreamHandler)
        6    0.000    0.000    0.000    0.000 __init__.py:1058(flush)
        1    0.000    0.000    0.000    0.000 __init__.py:106(__version__)
        6    0.000    0.000    0.000    0.000 __init__.py:1069(emit)
        6    0.000    0.000    0.003    0.001 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1121(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1180(is_interactive)
        6    0.000    0.000    0.000    0.000 __init__.py:119(getLevelName)
        1    0.000    0.000    0.000    0.000 __init__.py:1190(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1196(__init__)
       24    0.000    0.000    0.000    0.000 __init__.py:1202(stream)
        1    0.000    0.000    0.000    0.000 __init__.py:1214(PlaceHolder)
        4    0.000    0.000    0.000    0.000 __init__.py:1220(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1226(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1248(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1256(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1261(__init__)
       25    0.000    0.000    0.001    0.000 __init__.py:1272(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:129(CallbackRegistry)
       19    0.000    0.000    0.000    0.000 __init__.py:1290(_to_unmasked_float_array)
       47    0.000    0.000    0.008    0.000 __init__.py:1294(_add_data_doc)
       19    0.000    0.000    0.000    0.000 __init__.py:132(check_shape)
       24    0.000    0.000    0.000    0.000 __init__.py:1323(_fixupParents)
       92    0.001    0.000    0.015    0.000 __init__.py:1338(_preprocess_data)
        1    0.000    0.000    0.000    0.000 __init__.py:1347(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1377(Logger)
       25    0.000    0.000    0.000    0.000 __init__.py:1392(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
        7    0.000    0.000    0.000    0.000 __init__.py:1412(debug)
        6    0.000    0.000    0.001    0.000 __init__.py:1436(warning)
        6    0.000    0.000    0.000    0.000 __init__.py:1502(findCaller)
       57    0.000    0.000    0.000    0.000 __init__.py:152(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:153(py_object)
        6    0.000    0.000    0.000    0.000 __init__.py:1538(makeRecord)
        6    0.000    0.000    0.001    0.000 __init__.py:1553(_log)
        6    0.000    0.000    0.000    0.000 __init__.py:156(<lambda>)
        6    0.000    0.000    0.000    0.000 __init__.py:1579(handle)
        1    0.000    0.000    0.000    0.000 __init__.py:161(_get_version)
        1    0.000    0.000    0.000    0.000 __init__.py:162(c_short)
        6    0.000    0.000    0.000    0.000 __init__.py:1633(callHandlers)
        1    0.000    0.000    0.000    0.000 __init__.py:166(c_ushort)
        3    0.000    0.000    0.000    0.000 __init__.py:1663(getEffectiveLevel)
       13    0.000    0.000    0.000    0.000 __init__.py:1677(isEnabledFor)
        1    0.000    0.000    0.004    0.004 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:170(c_long)
