Compiling LebwohlLasher_cython.pyx because it changed.
[1/1] Cythonizing LebwohlLasher_cython.pyx
         3139324 function calls (2879000 primitive calls) in 3.571 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 Code.py:2340(put_error_if_unbound)
     1060    0.003    0.000    0.006    0.000 Code.py:2369(error_goto)
      816    0.001    0.000    0.006    0.000 Code.py:2382(error_goto_if)
      611    0.001    0.000    0.005    0.000 Code.py:2385(error_goto_if_null)
       36    0.000    0.000    0.000    0.000 Code.py:2388(error_goto_if_neg)
      507    0.002    0.000    0.003    0.000 Code.py:239(_add_utility)
        1    0.000    0.000    0.000    0.000 Code.py:2391(error_goto_if_PyErr)
     1060    0.001    0.000    0.002    0.000 Code.py:2394(lookup_filename)
      145    0.000    0.000    0.001    0.000 Code.py:2397(put_declare_refcount_context)
      145    0.000    0.000    0.001    0.000 Code.py:2400(put_setup_refcount_context)
      155    0.000    0.000    0.001    0.000 Code.py:2406(put_finish_refcount_context)
       89    0.000    0.000    0.001    0.000 Code.py:2409(put_add_traceback)
        2    0.000    0.000    0.000    0.000 Code.py:2424(put_unraisable)
        1    0.000    0.000    0.000    0.000 Code.py:2460(putln_openmp)
        1    0.000    0.000    0.000    0.000 Code.py:2486(PyrexCodeWriter)
        1    0.000    0.000    0.000    0.000 Code.py:2503(PyxCodeWriter)
        1    0.000    0.000    0.000    0.000 Code.py:2572(ClosureTempAllocator)
      399    0.099    0.000    0.154    0.000 Code.py:273(load_utilities_from_file)
      274    0.000    0.000    0.000    0.000 Code.py:298(<lambda>)
  399/159    0.003    0.000    0.215    0.001 Code.py:337(load)
        1    0.000    0.000    0.000    0.000 Code.py:363(<listcomp>)
   114/32    0.000    0.000    0.016    0.001 Code.py:382(<listcomp>)
    51/37    0.000    0.000    0.031    0.001 Code.py:386(<listcomp>)
  667/594    0.001    0.000    0.077    0.000 Code.py:406(load_cached)
       10    0.000    0.000    0.000    0.000 Code.py:419(load_as_string)
      226    0.000    0.000    0.002    0.000 Code.py:428(format_code)
       29    0.000    0.000    0.000    0.000 Code.py:439(get_tree)
        1    0.000    0.000    0.000    0.000 Code.py:447(UtilityCode)
      404    0.001    0.000    0.001    0.000 Code.py:466(__init__)
     1338    0.001    0.000    0.002    0.000 Code.py:480(__hash__)
     1657    0.001    0.000    0.002    0.000 Code.py:483(__eq__)
       16    0.000    0.000    0.000    0.000 Code.py:494(none_or_sub)
        8    0.000    0.000    0.000    0.000 Code.py:502(specialize)
       94    0.000    0.000    0.001    0.000 Code.py:527(inject_string_constants)
       29    0.000    0.000    0.000    0.000 Code.py:534(externalise)
       93    0.000    0.000    0.000    0.000 Code.py:548(inject_unbound_methods)
       93    0.000    0.000    0.000    0.000 Code.py:571(wrap_c_strings)
   111/82    0.001    0.000    0.007    0.000 Code.py:587(put_code)
      751    0.047    0.000    0.056    0.000 Code.py:627(sub_tempita)
        1    0.000    0.000    0.000    0.000 Code.py:641(TempitaUtilityCode)
      250    0.001    0.000    0.056    0.000 Code.py:642(__init__)
      241    0.001    0.000    0.027    0.000 Code.py:651(load_cached)
        1    0.000    0.000    0.000    0.000 Code.py:672(LazyUtilityCode)
       27    0.000    0.000    0.000    0.000 Code.py:680(__init__)
       27    0.000    0.000    0.025    0.001 Code.py:683(put_code)
        1    0.000    0.000    0.000    0.000 Code.py:688(FunctionState)
        1    0.000    0.000    0.003    0.003 Code.py:7(<module>)
      165    0.001    0.000    0.001    0.000 Code.py:701(__init__)
      895    0.001    0.000    0.001    0.000 Code.py:755(new_label)
      217    0.000    0.000    0.000    0.000 Code.py:769(new_error_label)
       47    0.000    0.000    0.000    0.000 Code.py:774(get_loop_labels)
       94    0.000    0.000    0.000    0.000 Code.py:779(set_loop_labels)
       47    0.000    0.000    0.000    0.000 Code.py:783(new_loop_labels)
        6    0.000    0.000    0.000    0.000 Code.py:790(get_all_labels)
        7    0.000    0.000    0.000    0.000 Code.py:797(set_all_labels)
        3    0.000    0.000    0.000    0.000 Code.py:803(all_new_labels)
     1298    0.001    0.000    0.001    0.000 Code.py:814(use_label)
      204    0.000    0.000    0.000    0.000 Code.py:817(label_used)
     1275    0.004    0.000    0.005    0.000 Code.py:822(allocate_temp)
     1275    0.003    0.000    0.004    0.000 Code.py:878(release_temp)
       83    0.000    0.000    0.000    0.000 Code.py:897(temps_in_use)
       83    0.000    0.000    0.001    0.000 Code.py:908(temps_holding_reference)
       83    0.000    0.000    0.000    0.000 Code.py:913(<listcomp>)
       81    0.000    0.000    0.000    0.000 Code.py:917(all_managed_temps)
       81    0.000    0.000    0.000    0.000 Code.py:920(<listcomp>)
        8    0.000    0.000    0.000    0.000 Code.py:924(all_free_managed_temps)
        8    0.000    0.000    0.000    0.000 Code.py:930(<listcomp>)
        1    0.000    0.000    0.000    0.000 Code.py:949(NumConst)
       10    0.000    0.000    0.000    0.000 Code.py:958(__init__)
        1    0.000    0.000    0.000    0.000 Code.py:965(PyObjectConst)
       38    0.000    0.000    0.000    0.000 Code.py:971(__init__)
        1    0.000    0.000    0.000    0.000 Code.py:983(StringConst)
      201    0.000    0.000    0.001    0.000 Code.py:990(__init__)
      440    0.000    0.000    0.000    0.000 Code.py:997(add_py_version)
        1    0.000    0.000    0.000    0.000 CodeGeneration.py:1(<module>)
        9    0.000    0.000    0.001    0.000 CodeGeneration.py:22(__call__)
       16    0.000    0.000    0.000    0.000 CodeGeneration.py:27(visit_FuncDefNode)
    662/9    0.001    0.000    0.001    0.000 CodeGeneration.py:33(visit_Node)
        1    0.000    0.000    0.000    0.000 CodeGeneration.py:7(ExtractPxdCode)
        1    0.000    0.000    0.000    0.000 CodeWriter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 CodeWriter.py:15(LinesResult)
        1    0.000    0.000    0.000    0.000 CodeWriter.py:31(DeclarationWriter)
        1    0.000    0.000    0.000    0.000 CodeWriter.py:326(CodeWriter)
        1    0.000    0.000    0.000    0.000 CodeWriter.py:501(PxdWriter)
        1    0.000    0.000    0.000    0.000 CodeWriter.py:524(ExpressionWriter)
        1    0.000    0.000    0.095    0.095 CythonScope.py:1(<module>)
       20    0.000    0.000    0.445    0.022 CythonScope.py:101(load_cythonscope)
        1    0.000    0.000    0.000    0.000 CythonScope.py:11(CythonScope)
       25    0.000    0.000    0.007    0.000 CythonScope.py:133(create_cython_scope)
        4    0.000    0.000    0.000    0.000 CythonScope.py:141(load_testscope_utility)
       25    0.000    0.000    0.007    0.000 CythonScope.py:15(__init__)
        6    0.000    0.000    0.000    0.000 CythonScope.py:29(is_cpp)
       25    0.000    0.000    0.002    0.000 CythonScope.py:83(populate_cython_scope)
        1    0.000    0.000    0.000    0.000 DFA.py:102(__init__)
      952    0.001    0.000    0.005    0.000 DFA.py:107(old_to_new)
      238    0.000    0.000    0.000    0.000 DFA.py:126(highest_priority_action)
      238    0.000    0.000    0.000    0.000 DFA.py:143(new_to_old)
      952    0.001    0.000    0.003    0.000 DFA.py:147(make_key)
        1    0.003    0.003    0.023    0.023 DFA.py:16(nfa_to_dfa)
     1126    0.001    0.000    0.003    0.000 DFA.py:54(set_epsilon_closure)
     1239    0.001    0.000    0.002    0.000 DFA.py:66(epsilon_closure)
  764/325    0.001    0.000    0.001    0.000 DFA.py:80(add_to_epsilon_closure)
        1    0.000    0.000    0.001    0.001 DFA.py:9(<module>)
