./code/LebwohlLasher_numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.328, Time: 2.061183 s
         14268641 function calls (13308636 primitive calls) in 11.318 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        1    0.000    0.000    0.000    0.000 Image.py:114(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:118(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 Image.py:185(Transpose)
        1    0.000    0.000    0.000    0.000 Image.py:196(Transform)
        1    0.000    0.000    0.000    0.000 Image.py:205(Resampling)
        1    0.000    0.000    0.000    0.000 Image.py:224(Dither)
        1    0.000    0.000    0.000    0.000 Image.py:232(Palette)
        1    0.000    0.000    0.000    0.000 Image.py:237(Quantize)
        1    0.000    0.000    0.017    0.017 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:2700(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2709(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 Image.py:3231(register_open)
        1    0.000    0.000    0.000    0.000 Image.py:3246(register_mime)
        1    0.000    0.000    0.000    0.000 Image.py:3257(register_save)
        1    0.000    0.000    0.000    0.000 Image.py:3268(register_save_all)
        2    0.000    0.000    0.000    0.000 Image.py:3280(register_extension)
        1    0.000    0.000    0.000    0.000 Image.py:3291(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:3401(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3437(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:469(_E)
        1    0.000    0.000    0.000    0.000 Image.py:510(Image)
        1    0.000    0.000    0.000    0.000 Image.py:701(_ArrayData)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
